train_id,train_number,train_name,train_type
214,7942,"TPTY-COASPL",SF
215,8001,"KGP-JGM BI-W",SF
216,8002,"JGM-KGP BI-W",SF
217,8014,"MDN-KGP MEMU",MEMU
218,8017,"KGP-JGM MEMU",MEMU
219,8018,"JGM-KGP MEMU",MEMU
220,8035,"BLS - KGP DE",SF
221,8036,"BLS - KGP ME",SF
222,8051,"KGP JGM MEMU",MEMU
223,8052,"JGM KGP MEMU",MEMU
224,8061,"SHM JP SPL W",SF
225,8062,"JP SHM SPL W",SF
226,8063,"KGP-BQA DEMU",DEMU
227,8064,"BQA-KGP DEMU",DEMU
228,8065,"KGP-BQA MEMU",MEMU
229,8082,"BQA-VSU MEMU",MEMU
230,8087,"VSU-BQA MEMU",MEMU
231,8101,"CBSA CKP DEM",SF
232,8102,"CKP-CBSA DEM",SF
233,8301,"SBP-BAND WEE",SF
234,8302,"BAND-SBP WEE",SF
235,8403,"PURI-SRC WEE",SF
236,8404,"SRC-PURI WEE",SF
237,8501,"VSKP SC WEEK",SF
238,8502,"SC VSKP SPEC",SF
239,8511,"KRDL-VSKP SP",SF
240,8512,"VSKP-KRDL SP",SF
241,8567,"VSKP-QLN BI-",SF
242,8568,"QLN-VSKP BI-",SF
243,8573,"VSKP-TPTY WE",SF
244,8574,"TPTY-VSKP SP",SF
245,8581,"BPQ CAF PASS",SF
246,8582,"CAF BPQ SPL",SF
247,8617,"RNC ANVT SPL",SF
248,8618,"ANVT RNC SPL",SF
249,8627,"HWH RNC SPL",SF
250,8628,"RNC HWH  SPL",SF
251,8872,"DURG-G PASS",SF
252,9003,"BDTS NZM  SF",SF
253,9004,"NZM  BDTS SF",SF
254,9005,"BCT NDLS BI",SF
255,9006,"NDLS BCT BI",SF
256,9011,"BDTS BKN WEE",SF
257,9012,"BKN BDTS WEE",SF
258,9433,"BDTS GIMB WE",SF
259,9434,"GIMB BDTS WE",SF
260,9621,"AII BDTS SF",SF
261,9622,"BDTS AII SF",SF
262,9721,"JP UDZ SF SP",SF
263,9722,"UDZ JP SF SP",SF
264,9761,"SGNR-SOG SPL",SF
265,9809,"KOTA-NZM DAI",SF
266,9810,"NZM-KOTA DAI",SF
267,10103,"MANDOVI EXPR",EXP
268,10111,"KONKAN KANYA",SF
269,10215,"MAO-ERS",SF
270,10216,"ERS-MAO SPL",SF
271,11001,"SNSI-PVR EXP",EXP
272,11002,"PVR-SNSI EXP",EXP
273,11003,"DR-SWV TUTAR",SF
274,11004,"SWV-DR TUTAR",SF
275,11005,"DR-PDY EXPRE",EXP
276,11006,"CHALUKYA EXP",EXP
277,11007,"DECCAN EXPRE",EXP
278,11009,"SINHAGAD EXP",EXP
279,11011,"LTT-NED EXPR",EXP
280,11012,"NED-LTT  EXP",EXP
281,11013,"COIMBATORE E",SF
282,11014,"LOKMANYA TT",SF
283,11015,"KUSHINAGAR E",SF
284,11017,"LTT-KIK WEEK",SF
285,11018,"KARAIKAL LTT",SF
286,11019,"KONARK EXPRE",EXP
287,11021,"DR-TEN EXPRE",EXP
288,11022,"TEN - DR EXP",EXP
289,11023,"SAHYADRI EXP",EXP
290,11025,"BSL-PUNE EXP",EXP
291,11026,"PUNE-BSL EXP",EXP
292,11027,"CSMT-MAS MAI",SF
293,11028,"MAS-CSMT MUM",SF
294,11029,"KOYNA EXPRES",EXP
295,11031,"SUR-BJP EPXR",SF
296,11032,"BJP-SUR EXPR",EXP
297,11033,"PUNE-DBG EXP",EXP
298,11034,"DBG-PUNE EXP",EXP
